research_id,jurisdiction,kind,location,travel_direction,mobility,source_status,date_as_listed,latitude,longitude,coordinate_status,release_ready,checked_at,source_url,notes
ABQ-13,Albuquerque,speed,Eubank just north of Central,NB,fixed,live,2023-04-26,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-14,Albuquerque,speed,Ellison and Black Diversion Channel Trail crossing,EB,fixed,live,2023-05-05,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-15,Albuquerque,speed,Lomas near Third Street,EB,fixed,live,2023-05-12,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-16,Albuquerque,speed,Wyoming and just north of Academy,NB,fixed,live,2023-05-23,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-17,Albuquerque,speed,Coors between Montano and Paseo del Norte,NB,fixed,live,2023-09-15,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-18,Albuquerque,speed,Coors Bypass just south of Ellison,SB,fixed,live,2023-09-22,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-19,Albuquerque,speed,Paseo del Norte west of Louisiana,WB,fixed,live,2023-12-05,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-20,Albuquerque,speed,Broadway just north of Iron,SB,fixed,live,2024-06-26,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-21,Albuquerque,speed,Central between Louisiana and San Pedro,EB,fixed,live,2025-10-03,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-22,Albuquerque,speed,Central between Louisiana and San Pedro,WB,fixed,live,2025-10-03,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-23,Albuquerque,speed,Carlisle between Hilton and Delmar,SB,fixed,live,2025-01-30,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-24,Albuquerque,speed,Lead near Bryn Mawr,WB,fixed,live,2026-02-06,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-25,Albuquerque,speed,Eubank near Sierra Vista,SB,fixed,live,2026-02-06,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-26,Albuquerque,speed,Broadway between Iron and Coal,NB,fixed,live,2026-03-23,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-27,Albuquerque,speed,Unser near Old Ouray,NB,fixed,live,2026-03-23,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-28,Albuquerque,speed,Juan Tabo near Copper,SB,fixed,live,2026-03-23,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-29,Albuquerque,speed,Zuni between Mesilla and Espanola,WB,fixed,live,2026-03-23,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-30,Albuquerque,speed,Menaul west of Vassar,WB,fixed,live,2026-04-01,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-31,Albuquerque,speed,Unser near Gwin,SB,fixed,live,2026-06-19,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-32,Albuquerque,speed,Fourth Street north of Griegos,SB,fixed,live,2026-06-19,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-33,Albuquerque,speed,Central near 61st Street,EB,fixed,live,2026-06-19,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-34,Albuquerque,speed,Central near 61st Street,WB,fixed,live,2026-06-19,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-35,Albuquerque,speed,Tramway near Lomas,SB,fixed,live,2026-07-24,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-36,Albuquerque,speed,Paseo del Norte west of Barstow,WB,fixed,live,2026-07-24,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-37,Albuquerque,speed,Coors north of St. Joseph,NB,fixed,listed_current,2026-07-29,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-38,Albuquerque,speed,Coors north of St. Joseph,SB,fixed,listed_current,2026-07-29,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-39,Albuquerque,speed,Central at Texas,WB,fixed,listed_current,2026-09-04,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
ABQ-40,Albuquerque,speed,Louisiana near Marquette,NB,fixed,listed_current,2026-09-04,,,not_established,false,2026-09-14,https://www.cabq.gov/automated-speed-enforcement,Research ID follows source list order; not an official device ID.
BC-01,Bernalillo County,speed,Paradise Blvd at Radcliffe Rd,EB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware."
BC-02,Bernalillo County,speed,Paradise Blvd at Radcliffe Rd,WB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware."
BC-03,Bernalillo County,speed,Isleta Blvd between Arenal Rd and Montrose Pl,NB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware."
BC-04,Bernalillo County,speed,Isleta Blvd between Sunbeam Rd and Brother Rd,SB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware."
BC-05,Bernalillo County,speed,Golf Course Rd between Congress Ave and Sutton St,NB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware."
BC-06,Bernalillo County,speed,Golf Course Rd between Congress Ave and Sutton St,SB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware."
BC-07,Bernalillo County,speed,Bridge Rd between Old Coors Dr and Atrisco Dr,EB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware."
BC-08,Bernalillo County,speed,Bridge Rd between Old Coors Dr and Atrisco Dr,WB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware."
BC-09,Bernalillo County,speed,Arenal Rd between Isleta Blvd and Tapia Blvd,EB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware."
BC-10,Bernalillo County,speed,Arenal Rd between Isleta Blvd and Tapia Blvd,WB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware."
BC-11,Bernalillo County,speed,Coors Blvd (NM 45) between Gun Club Rd and Rio Bravo Blvd,NB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware."
BC-12,Bernalillo County,speed,Coors Blvd (NM 45) between Sage Rd and Tower Rd,NB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware."
BC-13,Bernalillo County,speed,Dennis Chavez Blvd (NM 500) between Condershire Dr and Coors Blvd,NB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware. Source says NB/SB; road-alignment/direction conflict requires review. Do not silently change to EB/WB."
BC-14,Bernalillo County,speed,Dennis Chavez Blvd (NM 500) between Condershire Dr and Coors Blvd,SB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware. Source says NB/SB; road-alignment/direction conflict requires review. Do not silently change to EB/WB."
BC-15,Bernalillo County,speed,Alameda Pkwy (NM 528) between Rio Grande Blvd and Guadalupe Trl,WB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware."
BC-16,Bernalillo County,speed,Tramway Blvd (NM 556) between Tramway Terrace Pl and San Rafael Ave,NB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware."
BC-17,Bernalillo County,speed,Paseo del Norte (NM 423) near Rio Grande overpass,EB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware. Current installation is listed; citation start date not established from this primary page."
BC-18,Bernalillo County,speed,Paseo del Norte (NM 423) near Rio Grande overpass,WB,presumed_fixed,installed,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates. Fixed inferred from separation of the mobile list; confirm hardware. Current installation is listed; citation start date not established from this primary page."
BC-19,Bernalillo County,speed,US Route 66 (NM 333) between Vista Valle Dr and Barton Rd,EB,unknown,pending_approval,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates."
BC-20,Bernalillo County,speed,US Route 66 (NM 333) between Vista Valle Dr and Barton Rd,WB,unknown,pending_approval,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates."
BC-21,Bernalillo County,speed,Frost Rd between NM 14 and Pine Ridge Rd,EB,unknown,pending_approval,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates."
BC-22,Bernalillo County,speed,Frost Rd between NM 14 and Pine Ridge Rd,WB,unknown,pending_approval,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates."
BC-23,Bernalillo County,speed,NM 14 before Largent Cir,NB,unknown,pending_approval,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates."
BC-24,Bernalillo County,speed,NM 14 before Penny Ln,SB,unknown,pending_approval,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates."
BC-25,Bernalillo County,speed,Isleta Blvd between Los Padillas Rd and Sanchez Rd,NB,mobile,mobile_site,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates."
BC-26,Bernalillo County,speed,Isleta Blvd between Los Padillas Rd and Sanchez Rd,SB,mobile,mobile_site,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates."
BC-27,Bernalillo County,speed,Shelly Dr SW at Speedway Park Blvd,SB,mobile,mobile_site,,,,not_established,false,2026-09-14,https://www.bernco.gov/public-works/automated-photo-speed-enforcement/,"Source supplies a segment/site, not precise camera coordinates."
RR-01,Rio Rancho,speed,NM 528 between Iris Rd and Idalia Rd,unknown,mobile,rotation_corridor,2026-06-15,,,not_established,false,2026-09-14,https://rrnm.gov/1584/STOP-Safe-Traffic-Operations-Program,Published deployment corridor; no exact live position. Official page also describes 10 rotating local-road units without a complete location list. Approved for Possible speed camera scope; geometry reconciliation is still required.
RR-02,Rio Rancho,speed,NM 528 between Sara Rd and Zenith Ct,unknown,mobile,rotation_corridor,2026-06-15,,,not_established,false,2026-09-14,https://rrnm.gov/1584/STOP-Safe-Traffic-Operations-Program,Published deployment corridor; no exact live position. Official page also describes 10 rotating local-road units without a complete location list. Approved for Possible speed camera scope; geometry reconciliation is still required.
RR-03,Rio Rancho,speed,NM 528 between Westside Blvd and 19th Ave SE,unknown,mobile,rotation_corridor,2026-06-15,,,not_established,false,2026-09-14,https://rrnm.gov/1584/STOP-Safe-Traffic-Operations-Program,Published deployment corridor; no exact live position. Official page also describes 10 rotating local-road units without a complete location list. Approved for Possible speed camera scope; geometry reconciliation is still required.
